[CONFIG] Review mode: 314 papers in scope
[INVENTORY] Scanning wiki (recursive) and raw directories...

===== Inventory Report =====
  Total papers:           733
  deepread-codex (done):  178
  deepread-mimo (upgrade):16
  needs first deepread:   539
  new raw (no wiki):      0
  have PDFs:              3
===========================

[REVIEW] Filtered to 314 review papers
[PDF] Downloading 311 PDFs with 6 workers...
  [1/311] \u2717 10.1002/adfm.202312149
  [2/311] \u2717 10.1002/adma.202412792
  [3/311] \u2717 10.1002/admt.202000358
  [4/311] \u2717 10.1002/adfm.202411029
  [5/311] \u2717 10.1002/adfm.202305879
  [6/311] \u2717 10.1002/anie.202200271
  [7/311] \u2717 10.1002/anie.201902578
  [8/311] \u2717 10.1002/app.55298
  [9/311] \u2717 10.1002/app.48564
  [10/311] \u2717 10.1002/mabi.202070020
  [11/311] \u2717 10.1002/cssc.202200399
  [12/311] \u2717 10.1002/pc.27243
  [13/311] \u2717 10.1002/slct.202400710
  [14/311] \u2717 10.1002/smll.202405826
  [15/311] \u2717 10.1002/smll.202409365
  [16/311] \u2717 10.1002/sus2.249
  [17/311] \u2717 10.1007/bf00820270
  [18/311] \u2717 10.1007/s10570-007-9184-2
  [19/311] \u2717 10.1007/s10570-009-9300-6
  [20/311] \u2717 10.1007/s10570-011-9514-2
  [21/311] \u2717 10.1007/s10570-009-9357-2
  [22/311] \u2717 10.1007/s10570-012-9761-x
  [23/311] \u2717 10.1007/s10570-013-0124-z
  [24/311] \u2717 10.1007/s10570-012-9784-3
  [25/311] \u2717 10.1007/s10570-012-9664-x
  [26/311] \u2717 10.1007/s10570-014-0478-x
  [27/311] \u2717 10.1007/s10570-015-0799-4
  [28/311] \u2717 10.1007/s10570-016-0958-2
  [29/311] \u2717 10.1002/adem.202300641
  [30/311] \u2717 10.1007/s10570-017-1394-7
  [31/311] \u2717 10.1007/s10570-018-1725-3
  [32/311] \u2717 10.1007/s10570-018-2001-2
  [33/311] \u2717 10.1007/s10570-018-2051-5
  [34/311] \u2717 10.1002/admt.202501019
  [35/311] \u2717 10.1007/s10570-019-02435-8
  [36/311] \u2717 10.1007/s10570-019-02783-5
  [37/311] \u2717 10.1007/s10570-019-02841-y
  [38/311] \u2717 10.1007/s10570-020-03249-9
  [39/311] \u2717 10.1007/s10570-021-03782-1
  [40/311] \u2717 10.1007/s10570-021-03955-y
  [41/311] \u2717 10.1007/s10570-021-03847-1
  [42/311] \u2717 10.1007/s10570-021-04052-w
  [43/311] \u2717 10.1007/s10570-021-04067-3
  [44/311] \u2717 10.1007/s10570-021-04278-8
  [45/311] \u2717 10.1007/s10570-021-04286-8
  [46/311] \u2717 10.1007/s10570-021-04302-x
  [47/311] \u2717 10.1007/s10570-021-04321-8
  [48/311] \u2717 10.1007/s10570-021-04411-7
  [49/311] \u2717 10.1007/s10570-022-04622-6
  [50/311] \u2717 10.1007/s10570-022-04642-2
  [51/311] \u2717 10.1007/s10570-022-04643-1
  [52/311] \u2717 10.1007/s10570-022-04652-0
  [53/311] \u2717 10.1007/s10570-022-04712-5
  [54/311] \u2717 10.1007/s10570-022-04811-3
  [55/311] \u2717 10.1007/s10570-022-04936-5
  [56/311] \u2717 10.1007/s10570-023-05312-7
  [57/311] \u2717 10.1007/s10570-024-05874-0
  [58/311] \u2717 10.1007/s10570-023-05548-3
  [59/311] \u2717 10.1007/s10570-024-05964-z
  [60/311] \u2717 10.1007/s10570-024-06093-3
  [61/311] \u2717 10.1007/s10570-024-06226-8
  [62/311] \u2717 10.1007/s10570-025-06861-9
  [63/311] \u2717 10.1007/s10853-022-07379-2
  [64/311] \u2717 10.1007/s10904-025-04148-x
  [65/311] \u2717 10.1007/s10924-024-03321-6
  [66/311] \u2717 10.1007/s12274-022-4944-8
  [67/311] \u2717 10.1007/s12274-023-6267-9
  [68/311] \u2717 10.1007/s12221-022-4584-3
  [69/311] \u2717 10.1016/0963-9969(95)93324-n
  [70/311] \u2717 10.1016/j.addr.2024.115463
  [71/311] \u2717 10.1016/j.apmt.2023.101777
  [72/311] \u2717 10.1016/j.bios.2023.115893
  [73/311] \u2717 10.1016/j.bej.2022.108476
  [74/311] \u2717 10.1016/j.carbpol.2010.09.006
  [75/311] \u2717 10.1016/j.carbpol.2018.08.054
  [76/311] \u2717 10.1016/j.carbpol.2019.115084
  [77/311] \u2717 10.1016/j.carbpol.2020.117233
  [78/311] \u2717 10.1016/j.carbpol.2021.117671
  [79/311] \u2717 10.1016/j.carbpol.2021.117665
  [80/311] \u2717 10.1016/j.carbpol.2021.118078
  [81/311] \u2717 10.1016/j.carbpol.2021.119005
  [82/311] \u2717 10.1016/j.carbpol.2021.118925
  [83/311] \u2717 10.1016/j.carbpol.2022.119199
  [84/311] \u2717 10.1016/j.carbpol.2022.120117
  [85/311] \u2717 10.1016/j.carbpol.2023.120567
  [86/311] \u2717 10.1016/j.carbpol.2023.120744
  [87/311] \u2717 10.1016/j.carbpol.2023.121454
  [88/311] \u2717 10.1016/j.carbpol.2023.121685
  [89/311] \u2717 10.1016/j.carbpol.2024.121932
  [90/311] \u2717 10.1016/j.carbpol.2024.122406
  [91/311] \u2717 10.1016/j.carbpol.2024.122068
  [92/311] \u2717 10.1016/j.carbpol.2024.122497
  [93/311] \u2717 10.1016/j.carbpol.2024.122552
  [94/311] \u2717 10.1016/j.carbpol.2024.123136
  [95/311] \u2717 10.1016/j.cej.2020.125341
  [96/311] \u2717 10.1016/j.cej.2022.135057
  [97/311] \u2717 10.1016/j.cej.2022.137056
  [98/311] \u2717 10.1016/j.cej.2022.138675
  [99/311] \u2717 10.1016/j.cej.2023.147065
  [100/311] \u2717 10.1016/j.cej.2023.147888
  [101/311] \u2717 10.1016/j.cej.2021.130353
  [102/311] \u2717 10.1016/j.cej.2023.148192
  [103/311] \u2717 10.1016/j.cej.2023.148305
  [104/311] \u2717 10.1016/j.cej.2024.149951
  [105/311] \u2717 10.1016/j.cej.2024.151143
  [106/311] \u2717 10.1016/j.cej.2024.153567
  [107/311] \u2717 10.1016/j.cej.2024.154994
  [108/311] \u2717 10.1016/j.cej.2024.155808
  [109/311] \u2717 10.1016/j.colsurfa.2022.130390
  [110/311] \u2717 10.1016/j.compositesa.2022.107039
  [111/311] \u2717 10.1016/j.compositesb.2020.108246
  [112/311] \u2717 10.1016/j.colsurfa.2026.140175
  [113/311] \u2717 10.1016/j.compositesb.2023.111022
  [114/311] \u2717 10.1016/j.esci.2026.100584
  [115/311] \u2717 10.1016/j.eurpolymj.2018.02.013
  [116/311] \u2717 10.1016/j.eurpolymj.2020.110258
  [117/311] \u2717 10.1016/j.eurpolymj.2021.110565
  [118/311] \u2717 10.1016/j.diamond.2024.110789
  [119/311] \u2717 10.1016/j.eurpolymj.2023.112603
  [120/311] \u2717 10.1016/j.eurpolymj.2024.113312
  [121/311] \u2717 10.1016/j.ijbiomac.2021.02.104
  [122/311] \u2717 10.1016/j.ijbiomac.2021.09.075
  [123/311] \u2717 10.1016/j.ijbiomac.2022.03.025
  [124/311] \u2717 10.1016/j.ijbiomac.2022.06.011
  [125/311] \u2717 10.1016/j.ijbiomac.2022.11.014
  [126/311] \u2717 10.1016/j.ijbiomac.2023.123425
  [127/311] \u2717 10.1016/j.ijbiomac.2023.124780
  [128/311] \u2717 10.1016/j.ijbiomac.2023.126550
  [129/311] \u2717 10.1016/j.ijbiomac.2023.126693
  [130/311] \u2717 10.1016/j.ijbiomac.2023.123936
  [131/311] \u2717 10.1016/j.ijbiomac.2024.131118
  [132/311] \u2717 10.1016/j.ijbiomac.2024.131129
  [133/311] \u2717 10.1016/j.ijbiomac.2024.131115
  [134/311] \u2717 10.1016/j.ijbiomac.2024.132419
  [135/311] \u2717 10.1016/j.ijbiomac.2024.132585
  [136/311] \u2717 10.1016/j.ijbiomac.2024.136439
  [137/311] \u2717 10.1016/j.ijbiomac.2025.149374
  [138/311] \u2717 10.1016/j.ijbiomac.2026.150776
  [139/311] \u2717 10.1016/j.indcrop.2015.11.083
  [140/311] \u2717 10.1016/j.ijbiomac.2024.135947
  [141/311] \u2717 10.1016/j.ijbiomac.2025.023888
  [142/311] \u2717 10.1016/j.indcrop.2024.118405
  [143/311] \u2717 10.1016/j.indcrop.2024.118026
  [144/311] \u2717 10.1016/j.indcrop.2024.119541
  [145/311] \u2717 10.1016/j.indcrop.2024.118692
  [146/311] \u2717 10.1016/j.jcis.2021.04.001
  [147/311] \u2717 10.1016/j.jcis.2022.01.117
  [148/311] \u2717 10.1016/j.jmbbm.2025.107258
  [149/311] \u2717 10.1016/j.jobab.2025.08.001
  [150/311] \u2717 10.1016/j.mattod.2024.02.007
  [151/311] \u2717 10.1016/j.molliq.2023.122456
  [152/311] \u2717 10.1016/j.mseb.2025.118923
  [153/311] \u2717 10.1016/j.matlet.2020.128340
  [154/311] \u2717 10.1016/j.nanoen.2022.107374
  [155/311] \u2717 10.1016/j.nanoen.2024.109500
  [156/311] \u2717 10.1016/j.polymer.2024.126837
  [157/311] \u2717 10.1016/j.polymer.2023.126490
  [158/311] \u2717 10.1016/j.polymertesting.2024.108607
  [159/311] \u2717 10.1016/j.polymer.2024.126735
  [160/311] \u2717 10.1016/j.porgcoat.2022.106784
  [161/311] \u2717 10.1016/j.reactfunctpolym.2023.105572
  [162/311] \u2717 10.1016/j.rser.2025.115914
  [163/311] \u2717 10.1016/j.solener.2024.113099
  [164/311] \u2717 10.1016/j.sna.2023.114223
  [165/311] \u2717 10.1016/j.susmat.2022.e00437
  [166/311] \u2717 10.1016/j.susmat.2025.e01234
  [167/311] \u2717 10.1016/j.tws.2020.106842
  [168/311] \u2717 10.1016/j.xcrp.2023.101511
  [169/311] \u2717 10.1021/acsaelm.4c00799
  [170/311] \u2717 10.1021/acs.langmuir.7b01460
  [171/311] \u2717 10.1021/acsaem.5c01260
  [172/311] \u2717 10.1021/acsami.1c08395
  [173/311] \u2717 10.1021/acsami.2c14157
  [174/311] \u2717 10.1021/acsami.3c05208
  [175/311] \u2717 10.1021/acsami.4c08984
  [176/311] \u2717 10.1021/acsapm.2c00487
  [177/311] \u2717 10.1021/acsapm.3c01381
  [178/311] \u2717 10.1021/acsapm.3c00634
  [179/311] \u2717 10.1021/acsnano.3c11578
  [180/311] \u2717 10.1021/acssuschemeng.3c07949
  [181/311] \u2717 10.1023/a:1009277216057
  [182/311] \u2717 10.1038/ncomms15911
  [183/311] \u2717 10.1038/s41467-018-05904-z
  [184/311] \u2717 10.1038/s41467-022-30224-8
  [185/311] \u2717 10.1038/s41578-024-00672-3
  [186/311] \u2717 10.1039/D2GC00784C
  [187/311] \u2717 10.1039/c4ra07576e
  [188/311] \u2717 10.1039/c6ra12517d
  [189/311] \u2717 10.1039/c8cc05779f
  [190/311] \u2717 10.1039/c8ra01639a
  [191/311] \u2717 10.1039/d0ta04360e
  [192/311] \u2717 10.1039/d1ta06468a
  [193/311] \u2717 10.1039/d2ta06835d
  [194/311] \u2717 10.1039/d3ta04980a
  [195/311] \u2717 10.1039/d3ta07424b
  [196/311] \u2717 10.1039/d4ma00725e
  [197/311] \u2717 10.1039/d4nj03774j
  [198/311] \u2717 10.1039/d5gc05362e
  [199/311] \u2717 10.1051/matecconf/202134700014
  [200/311] \u2717 10.1063/1674-0068/cjcp2106104
  [201/311] \u2717 10.1063/5.0139951
  [202/311] \u2717 10.1063/5.0207037
  [203/311] \u2717 10.1080/10584587.2023.2227051
  [204/311] \u2717 10.1080/10601320701285045
  [205/311] \u2717 10.1080/10601325.2024.2409754
  [206/311] \u2717 10.1080/1536383x.2024.2310697
  [207/311] \u2717 10.1088/1757-899x/223/1/012052
  [208/311] \u2717 10.1109/ee.1941.6434631
  [209/311] \u2717 10.1115/1.4000858
  [210/311] \u2717 10.1155/2015/963436
  [211/311] \u2717 10.1186/s40486-025-00239-z
  [212/311] \u2717 10.1299/jsmeted.2020.0023
  [213/311] \u2717 10.15376/biores.13.1.xu
  [214/311] \u2717 10.17576/jsm-2015-4406-04
  [215/311] \u2717 10.15376/biores.11.3.7710-7720
  [216/311] \u2717 10.18321/ectj524
  [217/311] \u2717 10.19045/bspab.2026.150008
  [218/311] \u2717 10.2139/ssrn.4204630
  [219/311] \u2717 10.2115/fiberst.2018-0004
  [220/311] \u2717 10.2139/ssrn.4397162
  [221/311] \u2717 10.2166/wpt.2023.230
  [222/311] \u2717 10.24200/sci.2017.4285
  [223/311] \u2717 10.2352/j.imagingsci.technol.2025.69.3.030412
  [224/311] \u2717 10.26634/jms.5.1.13484
  [225/311] \u2717 10.26599/nr.2025.94907822
  [226/311] \u2717 10.3139/146.111938
  [227/311] \u2717 10.33140/jpcppr.01.01.01
  [228/311] \u2717 10.3389/fbioe.2020.602318
  [229/311] \u2717 10.3390/antibiotics12050873
  [230/311] \u2717 10.3390/foods6060041
  [231/311] \u2717 10.3390/gels11010038
  [232/311] \u2717 10.3390/foods11111619
  [233/311] \u2717 10.3390/gels11070522
  [234/311] \u2717 10.3390/gels9010020
  [235/311] \u2717 10.3390/ma12101628
  [236/311] \u2717 10.3390/gels7040277
  [237/311] \u2717 10.3390/ma13245789
  [238/311] \u2717 10.3390/ma14206165
  [239/311] \u2717 10.36463/idw.2022.0816
  [240/311] \u2717 10.3390/polym17233102
  [241/311] \u2717 10.3724/sp.j.1105.2011.10137
  [242/311] \u2717 10.3724/sp.j.1077.2008.01011
  [243/311] \u2717 10.3901/jme.2023.07.139
  [244/311] \u2717 10.3901/jme.2020.24.190
