priority,score,doi,year,journal,reading_depth,candidate_categories,strategy,application,cellulose_type,lowest_neg_temp,reports_cond_value,reports_mech_value,reports_GF_value,reports_heal_value,reports_adh_value,mentions_anti_drying,mentions_sustainability,local_file,note_length,next_action,reasons,local_title
A,104,10.1016/j.ijbiomac.2024.131129,?,,R1,DES_IL;Nanocellulose,DES+NanoCell,Sensor+Actuator,Regen,-80,YES,YES,NO,NO,NO,NO,YES,10.1016_j.ijbiomac.2024.131129.md,9086,Promote to R1 full-text verification,cellulose;existing_R1;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Transparent, super stretchable, freezing-tolerant, self-healing ionic conductive cellulose based eutectogel for multi-functional sensors."
A,103,10.1016/j.ijbiomac.2022.06.011,2022,,R2,DES_IL;Salt;Network_Dynamic;Biomedical,Salt+DES+DN+Starch+PVA,Sensor+Biomedical,Unspecified,-40,YES,YES,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2022.06.011.md,5682,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,"A high-conductive, anti-freezing, antibacterial and anti-swelling starch-based physical hydrogel for multifunctional flexible wearable sensors."
A,98,10.1016/j.carbpol.2024.122939,2024,Carbohydrate polymers,R2,DES_IL;Network_Dynamic;Nanocellulose;Biomedical,DES+NanoCell,Sensor+Biomedical+Actuator,Unspecified,,YES,YES,NO,YES,YES,NO,NO,10.1016_j.carbpol.2024.122939.md,6398,Promote to R1 full-text verification,cellulose;claim;temp_value;nonmech_metric;any_metric;4_reported_metrics;rich_note,Natural cellulose reinforced multifunctional eutectogels for wearable sensors and epidermal electrodes.
A,97,10.1016/j.carbpol.2024.121932,2024,,R2,Organohydrogel;Network_Dynamic;Nanocellulose,Org-H+NanoCell,Sensor,CNC,-60,NO,NO,YES,YES,NO,YES,NO,10.1016_j.carbpol.2024.121932.md,6333,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Self-healing, environmentally stable and adhesive hydrogel sensor with conductive cellulose nanocrystals for motion monitoring and character recognition."
A,94,10.1016/j.carbpol.2025.123253,?,,R1,DES_IL;Organohydrogel;Nanocellulose,DES+Org-H+NanoCell,Sensor,Unspecified,-50,NO,YES,NO,NO,NO,YES,YES,10.1016_j.carbpol.2025.123253.md,8472,Promote to R1 full-text verification,cellulose;existing_R1;claim;temp_value;subzero;any_metric;1_reported_metrics;rich_note,"Hybrid crosslinking cellulose nanofibers-reinforced zwitterionic poly (ionic liquid) organohydrogel with high-stretchable, anti-freezing, anti-drying as strain sensor application."
A,93,10.1016/j.ijbiomac.2023.129068,2023,International journal of biological macromolecules,R2,Organohydrogel;Network_Dynamic,Org-H+Starch+DynamicBond+PAM,Sensor+Actuator,Modified,-30,NO,YES,YES,NO,NO,YES,NO,10.1016_j.ijbiomac.2023.129068.md,5575,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,Multifunctional organohydrogel via the synergy of dialdehyde starch and glycerol for motion monitoring and sign language recognition.
A,93,10.1002/app.58040,2025,,R2,Salt;Network_Dynamic,DN+PVA,Sensor,CMC,-40,YES,YES,NO,NO,NO,YES,NO,10.1002_app.58040.md,5110,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,"High‐Strength, Frost‐Resistant PVA/PANI Conductive Hydrogels Suitable for Flexible Sensing"
A,93,10.3390/ma14206165,2021,,R2,Organohydrogel;Network_Dynamic,Org-H+PAA,Sensor,Unspecified,-70,NO,YES,NO,YES,NO,YES,NO,10.3390_ma14206165.md,6077,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,Ultra-Stretchable and Self-Healing Anti-Freezing Strain Sensors Based on Hydrophobic Associated Polyacrylic Acid Hydrogels
A,91,10.1016/j.ijbiomac.2025.147477,2025,,R2,Organohydrogel;Salt;Biomedical,Org-H+PVA,Sensor+Biomedical,Unspecified,-50,YES,NO,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2025.147477.md,5328,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;1_reported_metrics;rich_note,"Sodium carboxymethyl cellulose/polyvinyl alcohol/clove essential oil composite hydrogel with integrated antibacterial, antifreeze, and conductive properties as a wearable sensor for human motion monitoring."
A,90,10.1016/j.carbpol.2024.122271,2024,Carbohydrate polymers,R2,Network_Dynamic;Nanocellulose,NanoCell,General,Unspecified,-40,YES,NO,NO,YES,NO,NO,NO,10.1016_j.carbpol.2024.122271.md,5921,Promote to R1 full-text verification,cellulose;claim;temp_value;subzero;nonmech_metric;any_metric;2_reported_metrics;rich_note,"Zwitterionic cellulose nanofibers-based hydrogels with high toughness, ionic conductivity, and healable capability in cryogenic environments."
