doi,year,journal,reading_depth,cellulose_type,strategy,application,mentions_temp_value,has_negative_temp,lowest_neg_temp,mentions_conductivity,reports_cond_value,mentions_mechanics,reports_mech_value,mentions_GF,reports_GF_value,mentions_self_healing,reports_heal_value,mentions_adhesion,reports_adh_value,mentions_anti_drying,mentions_sustainability,mentions_transparency,claims_wide_temperature
10.1016/j.carbpol.2024.122271,2024,Carbohydrate polymers,R2,Unspecified,NanoCell,General,YES,YES,-40,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES
10.1016/j.carbpol.2024.122444,2024,Carbohydrate polymers,R2,Unspecified,Unclear,Energy,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
10.1016/j.carbpol.2024.122472,2024,Carbohydrate polymers,R2,Regen,Unclear,Sensor+Energy,YES,YES,-60,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.1016/j.carbpol.2024.122936,2024,Carbohydrate polymers,R2,Unspecified,Salt,Sensor,YES,YES,-80,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2024.122939,2024,Carbohydrate polymers,R2,Unspecified,DES+NanoCell,Sensor+Biomedical+Actuator,YES,NO,,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES
10.1016/j.carbpol.2025.123253,,,R1,Unspecified,DES+Org-H+NanoCell,Sensor,YES,YES,-50,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES
10.1016/j.heliyon.2024.e35014,2024,Heliyon,R2,Unspecified,NanoCell+Chitin/CS,Biomedical,NO,NO,,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
10.1016/j.ijbiomac.2023.125973,2023,International journal of biological macromolecules,R2,CMC,DN,Sensor+Actuator,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
10.1016/j.ijbiomac.2023.126550,,,R2,Regen,Salt+DN+PAA,General,YES,YES,-45,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES
10.1016/j.ijbiomac.2023.127396,2023,International journal of biological macromolecules,R2,CNF+Modified,Unclear,Sensor+Actuator,YES,NO,,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES
