doi,year,journal,reading_depth,cellulose_type,arch_layer,solvent_layer,network_layer,strategy,application,mentions_temp_value,has_negative_temp,lowest_neg_temp,mentions_conductivity,reports_cond_value,mentions_mechanics,reports_mech_value,mentions_GF,reports_GF_value,mentions_self_healing,reports_heal_value,mentions_adhesion,reports_adh_value,mentions_anti_drying,mentions_sustainability,mentions_transparency,claims_wide_temperature,any_func_nonmech,any_func_all,has_cellulose
10.1016/j.carbpol.2024.122271,2024,Carbohydrate polymers,R2,Unspecified,NanoCell_CNF,None,SelfHeal,NanoCell,General,YES,YES,-40,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES
10.1016/j.carbpol.2024.122444,2024,Carbohydrate polymers,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Energy,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2024.122472,2024,Carbohydrate polymers,R2,Regen,Regen,Salt,None,Unclear,Sensor+Energy,YES,YES,-60,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.1016/j.carbpol.2024.122936,2024,Carbohydrate polymers,R2,Unspecified,Cellulose_unspec,Salt,None,Salt,Sensor,YES,YES,-80,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES
10.1016/j.carbpol.2024.122939,2024,Carbohydrate polymers,R2,Unspecified,NanoCell_CNF,DES_IL,SelfHeal|Adhesive,DES+NanoCell,Sensor+Biomedical+Actuator,YES,NO,,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES
10.1016/j.carbpol.2025.123253,?,,R1,Unspecified,NanoCell_CNF,DES_IL|Org_polyol,None,DES+Org-H+NanoCell,Sensor,YES,YES,-50,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES
10.1016/j.heliyon.2024.e35014,2024,Heliyon,R2,Unspecified,Chitin_CS,Salt,None,NanoCell+Chitin/CS,Biomedical,NO,NO,,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
10.1016/j.ijbiomac.2023.125973,2023,International journal of biological macromolecules,R2,CMC,CMC,None,DN_IPN,DN,Sensor+Actuator,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
10.1016/j.ijbiomac.2023.126550,2023,,R2,Regen,Regen|PAA,Salt,DN_IPN,Salt+DN+PAA,General,YES,YES,-45,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.127396,2023,International journal of biological macromolecules,R2,CNF+Modified,NanoCell_CNF|Modified,None,SelfHeal|Adhesive,Unclear,Sensor+Actuator,YES,NO,,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES
